Date,close,YLD_CNV_LAST
2017-06-09,95.957,7.24
2017-06-12,95.105,7.32
2017-06-13,94.607,7.368
2017-06-14,95.562,7.277
2017-06-15,95.088,7.322
2017-06-16,95.354,7.297
2017-06-19,95.074,7.324
2017-06-20,94.054,7.421
2017-06-21,93.084,7.515
2017-06-22,93.878,7.438
2017-06-23,94.149,7.412
2017-06-26,95.069,7.324
2017-06-27,94.322,7.396
2017-06-28,94.467,7.382
2017-06-29,94.649,7.365
2017-06-30,94.861,7.345
2017-07-03,94.891,7.342
2017-07-05,94.883,7.343
2017-07-06,94.205,7.408
2017-07-07,93.994,7.428
2017-07-10,95.247,7.308
2017-07-11,95.068,7.325
2017-07-12,96.255,7.214
2017-07-13,96.226,7.217
2017-07-14,96.872,7.157
2017-07-17,97.403,7.108
2017-07-18,97.587,7.091
2017-07-19,97.518,7.097
2017-07-20,97.98,7.055
2017-07-21,97.985,7.055
2017-07-24,97.44,7.104
2017-07-25,96.503,7.191
2017-07-26,97.583,7.091
2017-07-27,97.741,7.077
2017-07-28,97.435,7.105
2017-07-31,97.471,7.102
2017-08-01,97.929,7.06
2017-08-02,97.669,7.083
2017-08-03,98.65,6.995
2017-08-04,98.4,7.017
2017-08-07,98.684,6.992
2017-08-08,98.738,6.987
2017-08-09,98.342,7.022
2017-08-10,98.087,7.045
2017-08-11,98.103,7.044
2017-08-14,98.775,6.983
2017-08-15,98.504,7.008
2017-08-16,99.182,6.947
2017-08-17,98.926,6.97
2017-08-18,98.509,7.007
2017-08-21,98.86,6.976
2017-08-22,98.446,7.013
2017-08-23,99.112,6.953
2017-08-24,98.787,6.982
2017-08-25,99.496,6.919
2017-08-28,99.716,6.899
2017-08-29,99.651,6.905
2017-08-30,99.586,6.911
2017-08-31,100.226,6.854
2017-09-01,100.271,6.85
2017-09-05,102.107,6.691
2017-09-06,101.867,6.712
2017-09-07,102.639,6.646
2017-09-08,102.481,6.659
2017-09-11,101.914,6.707
2017-09-12,101.235,6.766
2017-09-13,101.483,6.745
2017-09-14,101.607,6.734
2017-09-15,101.398,6.752
2017-09-18,101.027,6.784
2017-09-19,99.783,6.893
2017-09-20,100.341,6.844
2017-09-21,100.176,6.858
2017-09-22,101.057,6.781
2017-09-25,101.127,6.775
2017-09-26,100.84,6.8
2017-09-27,99.529,6.916
2017-09-28,100.678,6.814
2017-09-29,101.798,6.717
2017-10-02,101.658,6.729
2017-10-03,102.3,6.674
2017-10-04,102.31,6.673
2017-10-05,101.922,6.706
2017-10-06,101.53,6.74
2017-10-10,101.339,6.757
2017-10-11,101.098,6.778
2017-10-12,101.511,6.742
