Date,close
2018-12-11,95.786
2018-12-12,95.783
2018-12-13,96.276
2018-12-14,96.205
2018-12-17,96.247
2018-12-18,96.502
2018-12-19,96.65
2018-12-20,95.63
2018-12-21,95.636
2018-12-24,95.767
2018-12-26,94.865
2018-12-27,95.318
2018-12-28,95.817
2018-12-31,95.948
2019-01-02,95.995
2019-01-03,96.658
2019-01-04,96.993
2019-01-07,97.876
2019-01-08,98.672
2019-01-09,99.989
2019-01-10,99.503
2019-01-11,99.769
2019-01-14,99.619
2019-01-15,99.939
2019-01-16,99.895
2019-01-17,99.551
2019-01-18,100.178
2019-01-22,100.171
2019-01-23,100.28
2019-01-24,100.439
2019-01-25,100.129
2019-01-28,99.896
2019-01-29,100.112
2019-01-30,100.492
2019-01-31,101.49
2019-02-01,101.517
2019-02-04,101.769
2019-02-05,102.234
2019-02-06,101.939
2019-02-07,101.859
2019-02-08,101.66
2019-02-11,100.816
2019-02-12,100.953
2019-02-13,101.829
2019-02-14,101.542
2019-02-15,102.494
2019-02-19,102.551
2019-02-20,102.569
2019-02-21,102.236
2019-02-22,102.53
2019-02-25,102.869
2019-02-26,103.385
2019-02-27,103.335
2019-02-28,103.218
2019-03-01,103.234
2019-03-04,103.603
2019-03-05,103.067
2019-03-06,102.636
2019-03-07,102.213
2019-03-08,102.092
2019-03-11,103.562
2019-03-12,103.814
2019-03-13,103.062
2019-03-14,102.88
2019-03-15,103.498
2019-03-18,103.126
2019-03-19,103.609
2019-03-20,103.78
2019-03-21,103.32
2019-03-22,102.615
2019-03-25,102.539
2019-03-26,102.374
2019-03-27,101.291
2019-03-28,101.673
2019-03-29,102.315
2019-04-01,101.83
2019-04-02,101.792
2019-04-03,101.798
2019-04-04,101.912
2019-04-05,102.368
2019-04-08,102.073
2019-04-09,102.345
2019-04-10,103.012
2019-04-11,102.712
2019-04-12,101.921
2019-04-15,101.731
2019-04-16,101.893
2019-04-17,102.334
2019-04-18,102.314
2019-04-22,102.06
2019-04-23,102.848
2019-04-24,103.104
2019-04-25,102.341
2019-04-26,102.989
2019-04-29,102.924
2019-04-30,103.261
2019-05-01,103.106
2019-05-02,103.027
2019-05-03,103.411
2019-05-06,103.365
2019-05-07,103.777
2019-05-08,103.625
2019-05-09,103.56
2019-05-10,103.474
2019-05-13,103.074
2019-05-14,103.219
2019-05-15,103.251
2019-05-16,103.063
2019-05-17,102.768
2019-05-20,102.172
2019-05-21,103.206
2019-05-22,103.682
2019-05-23,102.691
2019-05-24,103.319
2019-05-28,103.442
2019-05-29,102.82
2019-05-30,103.673
2019-05-31,103.455
2019-06-03,103.878
2019-06-04,103.693
2019-06-05,103.992
2019-06-06,104.132
2019-06-07,104.976
2019-06-10,105.228
2019-06-11,106.077
2019-06-12,106.703
2019-06-13,107.242
2019-06-14,106.9
2019-06-17,106.418
2019-06-18,107.494
2019-06-19,107.847
2019-06-20,108.276
2019-06-21,108.258
2019-06-24,108.443
2019-06-25,108.307
2019-06-26,107.991
2019-06-27,108.097
2019-06-28,108.586
2019-07-01,109.899
2019-07-02,110.228
2019-07-03,110.492
2019-07-05,109.997
2019-07-08,110.091
2019-07-09,110.365
2019-07-10,110.616
2019-07-11,110.547
2019-07-12,111.406
2019-07-15,111.532
2019-07-16,111.585
2019-07-17,111.964
2019-07-18,111.793
2019-07-19,111.522
2019-07-22,111.691
2019-07-23,111.505
2019-07-24,112.389
2019-07-25,112.726
2019-07-26,113.147
