Date,PX_LAST,YLD_CNV_LAST
02/09/2021,120.091,5.168
01/09/2021,120.295,5.153
31/08/2021,120.246,5.157
30/08/2021,120.084,5.169
27/08/2021,119.6,5.205
26/08/2021,118.692,5.274
25/08/2021,118.598,5.282
24/08/2021,119.224,5.234
23/08/2021,119.35,5.225
20/08/2021,119.436,5.219
19/08/2021,119.315,5.228
18/08/2021,120.509,5.139
17/08/2021,119.583,5.208
16/08/2021,119.825,5.19
13/08/2021,120.734,5.123
12/08/2021,119.404,5.222
11/08/2021,118.924,5.259
10/08/2021,118.126,5.32
09/08/2021,117.801,5.345
06/08/2021,118.764,5.271
05/08/2021,118.954,5.257
04/08/2021,118.972,5.256
03/08/2021,118.873,5.264
02/08/2021,118.751,5.273
30/07/2021,118.755,5.273
29/07/2021,118.838,5.267
28/07/2021,118.697,5.278
27/07/2021,118.526,5.291
26/07/2021,118.916,5.262
23/07/2021,119.731,5.2
22/07/2021,118.858,5.266
21/07/2021,118.519,5.293
20/07/2021,118.795,5.272
19/07/2021,118.763,5.274
16/07/2021,119.014,5.255
15/07/2021,119.295,5.234
14/07/2021,118.328,5.308
13/07/2021,118.419,5.301
12/07/2021,118.671,5.282
09/07/2021,118.723,5.278
08/07/2021,119.318,5.233
07/07/2021,119.995,5.183
06/07/2021,119.791,5.198
02/07/2021,119.608,5.212
01/07/2021,119.608,5.212
30/06/2021,119.793,5.199
29/06/2021,120.519,5.145
28/06/2021,120.902,5.117
25/06/2021,120.363,5.157
24/06/2021,120.556,5.143
23/06/2021,120.349,5.158
22/06/2021,120.461,5.15
21/06/2021,120.358,5.158
18/06/2021,121.444,5.078
17/06/2021,121.085,5.104
16/06/2021,120.273,5.165
15/06/2021,120.242,5.167
14/06/2021,120.729,5.131
11/06/2021,120.515,5.147
10/06/2021,121.006,5.111
09/06/2021,120.317,5.162
08/06/2021,120.068,5.181
07/06/2021,119.661,5.211
04/06/2021,119.601,5.216
03/06/2021,118.942,5.266
02/06/2021,118.946,5.266
01/06/2021,118.289,5.316
28/05/2021,118.552,5.296
27/05/2021,117.893,5.346
26/05/2021,118.483,5.301
25/05/2021,117.948,5.342
24/05/2021,117.435,5.382
21/05/2021,117.35,5.388
20/05/2021,117.23,5.397
19/05/2021,116.623,5.444
18/05/2021,116.73,5.436
17/05/2021,116.59,5.447
14/05/2021,117.177,5.402
13/05/2021,116.42,5.461
12/05/2021,116.367,5.465
11/05/2021,117.063,5.411
10/05/2021,117.363,5.389
07/05/2021,116.346,5.467
06/05/2021,116.114,5.485
05/05/2021,116.228,5.477
04/05/2021,115.134,5.562
03/05/2021,115.362,5.544
30/04/2021,114.644,5.601
29/04/2021,115.766,5.513
28/04/2021,115.79,5.511
27/04/2021,115.51,5.533
26/04/2021,116.076,5.489
23/04/2021,116.29,5.473
22/04/2021,116.27,5.474
21/04/2021,115.553,5.531
20/04/2021,115.021,5.572
19/04/2021,115.276,5.552
16/04/2021,114.64,5.603
15/04/2021,114.039,5.65
14/04/2021,113.279,5.711
13/04/2021,112.818,5.748
12/04/2021,113.212,5.717
09/04/2021,113.59,5.687
08/04/2021,114.114,5.645
07/04/2021,112.765,5.753
06/04/2021,113.319,5.709
05/04/2021,113.034,5.732
02/04/2021,112.861,5.746
01/04/2021,113.333,5.708
31/03/2021,113.194,5.719
30/03/2021,110.922,5.904
29/03/2021,111.793,5.833
26/03/2021,111.635,5.846
25/03/2021,112.106,5.808
24/03/2021,112.681,5.761
23/03/2021,113.7,5.68
22/03/2021,113.169,5.722
19/03/2021,113.261,5.715
18/03/2021,112.428,5.782
17/03/2021,112.021,5.815
16/03/2021,112.665,5.763
15/03/2021,112.386,5.786
12/03/2021,111.885,5.827
11/03/2021,112.58,5.77
10/03/2021,111.543,5.855
09/03/2021,111.751,5.838
08/03/2021,110.354,5.953
05/03/2021,112.618,5.768
04/03/2021,113.225,5.719
03/03/2021,113.63,5.687
02/03/2021,115.015,5.578
01/03/2021,114.929,5.585
26/02/2021,115.734,5.522
25/02/2021,114.583,5.612
24/02/2021,118.297,5.327
23/02/2021,116.42,5.47
22/02/2021,114.403,5.627
19/02/2021,118.76,5.292
18/02/2021,120.296,5.178
17/02/2021,120.665,5.152
16/02/2021,121.299,5.106
12/02/2021,122.641,5.009
11/02/2021,123.062,4.979
10/02/2021,123.253,4.966
09/02/2021,123.041,4.981
08/02/2021,123.682,4.936
05/02/2021,123.637,4.939
04/02/2021,123.574,4.944
03/02/2021,122.473,5.023
02/02/2021,122.171,5.045
01/02/2021,121.184,5.116
29/01/2021,120.796,5.145
28/01/2021,121.117,5.121
27/01/2021,120.582,5.161
26/01/2021,121.247,5.112
25/01/2021,120.649,5.156
22/01/2021,120.523,5.166
21/01/2021,120.513,5.167
20/01/2021,121.15,5.12
19/01/2021,120.461,5.171
15/01/2021,121.575,5.09
14/01/2021,121.988,5.06
13/01/2021,123.41,4.959
12/01/2021,122.78,5.004
11/01/2021,122.893,4.996
08/01/2021,123.969,4.92
07/01/2021,124.229,4.902
06/01/2021,124.665,4.872
05/01/2021,126.079,4.774
04/01/2021,126.169,4.768
31/12/2020,126.229,4.764
30/12/2020,126.549,4.742
29/12/2020,125.913,4.787
28/12/2020,125.72,4.8
24/12/2020,124.905,4.856
23/12/2020,124.333,4.897
22/12/2020,124.749,4.868
21/12/2020,123.191,4.978
18/12/2020,124.698,4.872
17/12/2020,124.958,4.854
16/12/2020,124.733,4.87
15/12/2020,125.078,4.846
14/12/2020,124.649,4.876
11/12/2020,123.204,4.978
10/12/2020,123.735,4.94
09/12/2020,123.075,4.987
08/12/2020,123.833,4.934
07/12/2020,123.718,4.942
04/12/2020,123.593,4.951
03/12/2020,123.472,4.96
02/12/2020,123.122,4.985
01/12/2020,122.583,5.023
30/11/2020,120.386,5.182
27/11/2020,121.136,5.128
25/11/2020,120.701,5.159
24/11/2020,120.307,5.188
23/11/2020,120.067,5.206
20/11/2020,120.349,5.186
19/11/2020,120.033,5.209
18/11/2020,119.833,5.224
17/11/2020,119.29,5.264
16/11/2020,118.975,5.287
13/11/2020,117.78,5.377
12/11/2020,118.697,5.308
10/11/2020,118.31,5.337
09/11/2020,119.238,5.269
06/11/2020,117.435,5.404
05/11/2020,118.644,5.313
04/11/2020,116.603,5.467
03/11/2020,113.481,5.709
02/11/2020,113.142,5.736
30/10/2020,112.612,5.779
29/10/2020,114.21,5.652
28/10/2020,114.102,5.661
27/10/2020,115.258,5.571
26/10/2020,114.307,5.645
23/10/2020,115.087,5.584
22/10/2020,114.536,5.627
21/10/2020,114.62,5.621
20/10/2020,114.608,5.622
19/10/2020,114.771,5.609
16/10/2020,115.015,5.591
15/10/2020,115.315,5.567
14/10/2020,114.786,5.609
13/10/2020,114.768,5.61
09/10/2020,114.708,5.615
08/10/2020,113.276,5.727
07/10/2020,113.161,5.737
06/10/2020,113.252,5.73
05/10/2020,113.017,5.748
02/10/2020,112.193,5.814
01/10/2020,111.186,5.895
30/09/2020,111.199,5.895
29/09/2020,110.58,5.945
28/09/2020,112.613,5.781
25/09/2020,111.229,5.892
24/09/2020,111.331,5.884
23/09/2020,109.86,6.005
22/09/2020,111.952,5.835
21/09/2020,111.721,5.853
18/09/2020,115.214,5.578
17/09/2020,115.758,5.536
16/09/2020,115.541,5.553
